num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
1,5,2974,3193,3035.400000,3815,4064,3939.200000
2,5,4329,4435,4396.800000,4035,4566,4309.600000
3,5,5313,5650,5522.800000,5106,5880,5517.200000
4,5,6347,6864,6523.000000,6888,7190,7034.600000
5,5,8581,8764,8654.800000,8144,8430,8296.800000
6,5,9744,10632,10036.200000,10237,11136,10627.800000
7,5,9930,10588,10387.400000,9610,10811,10074.200000
8,5,10133,10655,10407.600000,12306,12872,12642.400000
9,5,11072,11672,11211.600000,11225,11443,11301.200000
10,5,12124,12469,12309.800000,12199,12527,12368.600000
11,5,13301,16093,14290.800000,13247,14539,14131.000000
12,5,14697,15533,15188.000000,14250,16299,15489.400000
13,5,15711,19218,17275.000000,14893,15570,15316.400000
14,5,16647,16796,16732.600000,15435,15520,15476.400000
15,5,16820,17216,16976.000000,15443,16642,15936.200000
16,5,19181,19425,19288.000000,16411,20214,18394.600000
17,5,20095,23122,21361.400000,16766,22414,18886.000000
18,5,20217,21423,20724.600000,16545,18932,17268.000000
19,5,21200,21874,21428.400000,16743,19168,18035.000000
20,5,22482,25092,23490.400000,15824,19065,17676.600000
21,5,24201,28726,25893.000000,16086,22382,19035.600000
22,5,26152,29900,27419.800000,17184,23195,20317.000000
23,5,24743,25289,24947.600000,18834,19798,19087.200000
24,5,25904,26580,26194.200000,20568,22445,21369.400000
25,5,27919,31909,29410.400000,22878,25312,23766.600000
26,5,28838,34451,31074.600000,21430,25053,22794.200000
27,5,29314,32551,30436.600000,21024,24824,22834.800000
28,5,30337,31501,30717.000000,22644,24187,23116.400000
29,5,31723,35342,33004.000000,22943,30659,25857.400000
30,5,33382,37986,35683.000000,24846,32091,28966.600000
31,5,33449,38893,35318.000000,26061,29849,27539.600000
32,5,33768,34030,33905.800000,22066,25504,23444.600000
33,5,35017,36784,35821.000000,25224,28596,27162.400000
34,5,38854,41335,39607.000000,27052,28813,27741.000000
35,5,39949,41941,41036.000000,26663,32469,29140.400000
36,5,38571,41698,39253.200000,26367,30424,28381.200000
37,5,39404,40779,39967.400000,26439,31391,27725.800000
38,5,40671,47614,44047.600000,28379,36596,32177.000000
39,5,42507,47194,44422.800000,28439,32363,29761.800000
40,5,41905,49301,44038.400000,26503,31497,28622.000000
41,5,42890,44625,43500.600000,27691,32050,29581.400000
42,5,43990,51114,46938.200000,29256,33627,30656.400000
43,5,47762,52771,49216.200000,30453,35835,33369.200000
44,5,46433,54651,50285.000000,27724,35529,31997.600000
45,5,47280,48408,47632.600000,32652,35582,34421.800000
46,5,48567,60397,52057.400000,33259,36303,35248.000000
47,5,50355,56819,53504.200000,34136,40677,37809.000000
48,5,50203,54180,52949.400000,33815,43632,36863.400000
49,5,50842,51287,51052.400000,33951,35431,34746.200000
50,5,52086,58051,53748.400000,33877,38559,36397.600000
51,5,56375,58807,57687.600000,38496,46442,41382.400000
52,5,58199,63670,60294.000000,35437,42956,40449.800000
53,5,55429,55627,55507.200000,39142,41245,40370.400000
54,5,56646,62564,58446.000000,40064,45061,41777.000000
55,5,60315,66500,62520.000000,43302,49788,45031.400000
56,5,61264,66766,62755.600000,38642,43093,41726.000000
57,5,58728,59110,58913.400000,36328,39062,38155.000000
58,5,60052,72549,62944.800000,39397,50326,42666.600000
59,5,64538,70051,66744.800000,41967,49162,45635.400000
60,5,66059,71386,67200.000000,43673,49682,46540.000000
61,5,63197,63611,63434.600000,42546,46504,44092.800000
62,5,64630,75135,67377.200000,44410,50535,46968.600000
63,5,66920,74576,69895.000000,46467,52697,49296.600000
64,5,70342,75742,73295.800000,45636,50193,48227.400000
65,5,66741,67207,67001.600000,45137,48430,46600.800000
66,5,67961,73488,70261.800000,46995,49342,48162.200000
67,5,71694,79646,75162.800000,49384,54636,52566.200000
68,5,70526,80455,75714.200000,46425,56746,50959.400000
69,5,71072,73527,71871.800000,47738,49459,48698.000000
