num_files,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
1,5,12196,14543,12842.600000,12352,13416,12725.400000
2,5,25769,29047,26613.000000,19377,24185,21347.400000
3,5,35151,38745,36242.800000,24067,27869,26898.000000
4,5,44353,45077,44686.400000,32035,32805,32395.200000
5,5,56912,61498,58242.600000,42782,46986,44391.600000
6,5,68062,76105,72454.200000,51466,58270,54161.000000
7,5,79883,88871,86968.600000,59465,67065,64120.600000
8,5,89503,92754,90438.600000,66250,68727,67306.800000
9,5,100632,112976,106940.200000,70513,87498,81522.400000
10,5,123131,125979,124641.800000,91276,96466,94072.200000
11,5,123748,134460,126271.600000,91273,96648,93102.400000
12,5,137670,155167,144615.800000,96752,111778,102067.000000
13,5,161351,167236,165004.800000,110564,119251,113073.000000
14,5,161175,177428,165188.800000,103873,118678,109925.000000
15,5,175242,193045,183548.400000,110939,127193,117992.200000
16,5,202125,207882,205489.400000,114843,125849,120949.400000
17,5,200080,233704,208835.200000,116601,122533,118876.400000
18,5,216504,237320,227408.600000,126625,138922,134479.800000
19,5,226830,247212,241046.000000,125204,235434,156943.800000
20,5,238878,277795,248167.000000,127191,143199,134659.200000
21,5,266841,327076,285841.000000,138852,151085,145800.800000
22,5,266063,291410,272383.200000,135178,149857,139812.000000
23,5,280405,310780,298573.400000,140971,152260,146829.600000
24,5,295257,320989,310389.400000,147014,161637,155261.200000
25,5,307806,373609,322719.600000,151685,164620,156328.600000
26,5,341607,353567,349872.800000,164955,171733,169512.800000
27,5,334882,341309,337255.200000,162678,168814,164742.400000
28,5,370582,381876,379600.400000,177120,214984,187419.600000
29,5,364157,476048,394451.800000,172139,186910,176881.000000
30,5,381125,416981,404000.600000,187069,232494,202274.400000
31,5,393208,429736,408004.400000,190793,198766,194084.200000
32,5,408966,444564,429339.400000,204763,220424,215386.600000
33,5,423471,534753,467222.400000,211083,233700,220526.000000
34,5,439666,478845,462469.000000,224490,245165,238277.800000
35,5,455237,527945,478184.800000,227334,246299,234434.400000
36,5,476762,513679,494080.200000,243383,277102,257453.000000
37,5,485798,524984,502437.400000,249787,358515,278217.200000
38,5,502838,543135,532597.200000,258516,275837,270297.600000
39,5,519394,561966,536178.000000,266761,271734,269429.800000
40,5,576872,600851,583133.600000,275973,297879,289244.400000
41,5,550567,596150,568898.000000,280110,302465,288988.200000
42,5,567855,657615,607020.800000,298193,401223,328487.400000
43,5,581283,628513,602920.200000,302313,338976,319462.400000
44,5,600126,708594,639971.400000,311453,334632,322073.000000
45,5,617404,702526,659092.800000,325673,348301,339259.800000
46,5,631192,688758,648970.200000,331327,479809,365012.600000
47,5,650518,739089,691551.200000,361701,438230,385675.000000
48,5,666667,743144,705672.400000,351517,364634,358918.600000
49,5,685054,737492,702876.800000,356710,473860,386994.400000
50,5,707983,766152,744648.800000,372640,425357,393873.800000
