num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
1,5,69,72,70.200000,69,70,69.200000
2,5,140,141,140.800000,130,131,130.200000
3,5,208,210,209.000000,192,194,193.000000
4,5,277,280,278.600000,251,254,252.400000
5,5,348,351,349.600000,313,317,315.200000
6,5,418,420,419.200000,376,377,376.400000
7,5,486,491,488.600000,436,439,437.600000
8,5,554,559,556.600000,497,501,499.800000
9,5,627,629,627.600000,491,500,497.000000
10,5,694,697,695.800000,496,500,498.200000
11,5,763,772,766.800000,494,501,496.600000
12,5,832,838,834.200000,498,499,498.400000
13,5,902,911,905.600000,497,500,498.400000
14,5,972,979,976.000000,498,499,498.400000
15,5,1043,1047,1044.000000,494,500,497.800000
16,5,1113,1115,1113.600000,518,524,520.800000
17,5,1184,1191,1187.000000,517,523,520.000000
18,5,1255,1257,1256.000000,518,522,520.200000
19,5,1323,1330,1327.200000,517,524,520.600000
20,5,1392,1394,1392.800000,516,521,518.400000
21,5,1461,1469,1465.200000,516,522,518.200000
22,5,1528,1537,1533.000000,518,523,520.000000
23,5,1604,1610,1606.600000,517,521,519.400000
24,5,1668,1680,1673.600000,547,548,547.400000
25,5,1742,1748,1746.000000,545,549,547.000000
26,5,1812,1818,1814.200000,541,548,545.800000
27,5,1879,1889,1883.000000,544,549,547.400000
28,5,1946,1958,1952.800000,545,549,547.400000
29,5,2016,2031,2025.000000,545,548,546.800000
30,5,2088,2095,2091.200000,547,550,548.800000
31,5,2161,2165,2162.800000,546,550,548.200000
32,5,2226,2237,2232.000000,587,599,591.000000
33,5,2303,2308,2306.200000,589,594,591.000000
34,5,2366,2380,2372.200000,587,591,588.800000
35,5,2436,2446,2441.800000,587,604,593.800000
36,5,2507,2521,2513.800000,588,590,588.800000
37,5,2579,2588,2584.400000,587,592,590.200000
38,5,2649,2663,2655.600000,590,594,592.400000
39,5,2719,2722,2720.800000,590,614,599.600000
40,5,2785,2794,2790.200000,642,646,643.600000
41,5,2858,2864,2861.000000,640,678,651.600000
42,5,2934,2937,2934.800000,647,689,664.200000
43,5,2995,3003,2999.600000,649,699,676.000000
44,5,3066,3076,3071.000000,652,696,675.400000
