num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
1,5,90,1231,992.200000,1192,1228,1208.000000
2,5,2331,2451,2400.600000,2311,2446,2403.800000
3,5,3548,3655,3596.600000,3522,3636,3574.400000
4,5,4942,5566,5357.600000,4873,5557,5395.800000
5,5,5984,8868,6603.200000,6002,6091,6063.800000
6,5,7232,8345,7633.400000,7207,8283,7658.800000
7,5,8334,9670,8646.000000,8305,8533,8444.800000
8,5,9569,11104,10194.200000,9485,11070,10142.400000
9,5,9716,10131,9855.200000,10612,12307,10970.000000
10,5,10867,12492,11333.600000,10454,12099,11309.800000
11,5,12184,14069,12946.800000,11469,13444,12087.400000
12,5,13358,15381,14096.800000,13770,15886,14302.600000
13,5,14582,16893,15279.600000,12709,14751,13903.000000
14,5,15687,18168,16485.200000,13760,16068,14340.400000
15,5,16902,18802,17671.000000,14987,17530,15535.400000
16,5,17952,20900,18734.600000,16088,18267,17183.400000
17,5,18017,20914,18738.200000,17298,18919,18011.000000
18,5,18640,22229,20195.000000,16760,19175,17904.400000
19,5,19738,23524,20733.800000,15684,20957,18145.400000
20,5,20827,23809,21631.000000,17723,21213,18651.200000
21,5,21947,25847,23359.800000,19547,23710,21058.200000
22,5,23230,27991,24727.200000,19010,21408,20058.200000
23,5,25543,28657,26718.000000,18567,23120,20837.800000
24,5,26266,26970,26648.800000,22013,29073,25372.800000
25,5,26624,28187,27417.400000,21643,23976,22800.600000
26,5,27616,29379,28655.000000,20552,23990,22182.000000
27,5,28080,30923,29276.400000,20729,25332,22571.600000
28,5,29228,34079,30825.200000,21939,23961,22772.400000
29,5,31226,36154,32846.400000,22909,27578,24706.200000
30,5,32262,35639,33292.200000,24202,27479,25610.000000
31,5,31131,33735,32275.600000,23900,25334,24636.800000
32,5,32003,33080,32245.200000,26858,27886,27302.200000
33,5,32146,33358,33012.200000,24835,26040,25736.600000
34,5,34231,37028,34809.400000,26789,27965,27084.600000
35,5,35286,35520,35375.400000,24810,25938,25285.000000
36,5,35434,36748,36238.400000,26857,30324,28493.800000
37,5,37404,37515,37442.600000,27768,28852,28208.800000
38,5,38607,38651,38620.800000,26941,28996,27971.000000
39,5,38743,39778,39198.800000,28064,31146,30142.400000
40,5,40502,41991,41559.600000,29483,30815,30352.200000
41,5,41832,42427,42138.800000,30878,34850,33413.000000
42,5,41405,43731,42504.400000,32483,36005,34045.400000
43,5,42417,43557,43200.800000,32364,34724,33884.400000
44,5,44339,44951,44573.600000,33487,34837,34425.000000
45,5,48528,52948,50266.800000,35052,42893,39536.600000
46,5,49070,54454,51421.800000,35744,44553,40044.200000
47,5,51159,55762,53057.200000,41006,43448,42254.000000
48,5,51685,57423,54157.000000,39504,46504,43534.400000
49,5,51447,55330,53630.600000,42499,45126,43818.200000
50,5,51777,59055,54984.400000,39655,48807,42109.000000
51,5,52021,59163,53968.600000,40420,48497,44729.200000
52,5,53562,61452,57903.800000,42672,49426,45715.800000
53,5,56957,61981,58974.800000,43771,48959,46361.800000
54,5,57378,62866,59854.000000,44847,49919,46390.600000
55,5,59029,64134,61138.400000,45341,53046,48627.600000
56,5,56598,67377,60899.400000,43623,56231,46792.800000
57,5,56764,57308,57084.200000,41081,44116,42312.600000
58,5,58212,58379,58283.400000,42170,45139,43023.400000
59,5,59251,59886,59569.200000,47076,47897,47349.400000
60,5,60087,60617,60285.000000,44982,46055,45598.000000
61,5,61394,61754,61504.000000,41980,46734,44636.200000
62,5,63195,63730,63519.400000,45489,47220,46147.400000
63,5,64228,65078,64565.600000,42817,49350,46826.600000
64,5,63914,65202,64628.800000,45587,48411,47485.000000
65,5,64984,77108,69770.400000,47890,52361,49917.400000
66,5,70689,75980,72788.600000,49635,56575,52898.200000
67,5,71909,77794,73797.200000,55454,61732,58312.000000
68,5,72989,79109,75314.400000,52754,58834,55736.000000
69,5,75695,79595,77955.000000,52446,57934,56111.600000
